"Año","Periodo","Artes","Ciencias","Ciencias agrarias","Ciencias económicas","Ciencias humanas","Derecho, ciencias políticas y sociales","Enfermería","Ingeniería","Medicina","Medicina veterinaria y de zootecnia","Odontología","Total"
"2021","1","286","351","91","298","557","160","87","798","252","117","66","3063"
"2020","2","230","369","82","284","421","157","84","728","200","107","68","2730"
"2020","1","259","433","107","292","587","178","85","802","314","120","96","3273"
"2019","2","246","389","92","340","445","179","84","770","232","108","79","2964"
"2019","1","249","426","95","396","586","184","96","781","333","110","81","3337"
"2018","2","251","403","95","370","446","178","125","745","227","121","77","3038"
"2018","1","263","491","135","387","609","192","202","829","342","128","86","3664"
"2017","2","245","419","113","337","422","171","115","731","231","108","73","2965"
"2017","1","275","451","142","243","598","175","109","754","326","120","76","3269"
"2016","2","259","434","135","230","498","170","105","749","240","125","59","3004"
"2016","1","264","437","98","236","616","175","96","732","323","114","51","3142"
"2015","2","255","436","112","252","483","169","92","723","243","106","56","2927"
"2015","1","272","443","97","237","623","178","106","726","314","110","56","3162"
"2014","2","266","420","89","227","504","170","102","720","243","111","54","2906"
"2014","1","248","400","86","217","538","160","43","705","263","101","48","2809"
"2013","2","230","366","77","230","482","141","70","654","202","91","42","2585"
"2013","1","258","434","177","265","638","191","90","832","332","104","51","3372"
"2012","2","222","487","143","244","544","183","86","834","110","51","53","2957"
"2012","1","235","538","147","228","615","186","93","844","292","105","54","3337"
"2011","2","242","453","133","222","527","143","89","793","238","101","64","3005"
"2011","1","250","541","91","289","559","189","93","849","293","116","61","3331"
"2010","2","247","534","88","281","537","199","84","837","224","111","57","3199"
"2010","1","246","513","90","283","582","194","86","815","285","104","58","3256"
"2009","2","231","455","88","192","382","171","91","746","252","99","57","2764"
"2009","1","234","435","100","180","570","172","87","754","280","103","54","2969"
"2008","2","229","418","82","176","425","169","85","772","240","100","55","2751"
"2008","1","226","444","90","177","559","170","86","750","277","101","57","2937"
