"Periodo";"Series 1 (low)";"Series 1 (q1)";"Series 1 (median)";"Series 1 (q3)";"Series 1 (high)"
"2014-2";234,1437;435,15725;501,1912;569,3414;770,1873
"2015-1";238,1331;436,8426;499,47685;570,6113;771,119
"2015-2";233,8047;440,5481;504,7036;578,5415;785,268
"2016-1";247,4362;442,0852;504,4739;572,008;766,8549
"2016-2";235,92;441,6751;504,34375;579,0663;784,862
"2017-1";243,4535;441,0072;504,08755;572,82875;770,3868
"2017-2";226,02;436,29;503,51;578,9;792,74
"2018-1";251,2856;444,2549;505,0495;573,0207;765,99
"2018-2";228,2489;439,86985;507,92095;581,1824;793,0481
"2019-1";240,4299;439,9749;506,0237;573,2203;773,0695
"2019-2";242,1047;447,7306;512,6684;584,96985;790,3544
"2020-1";250,1282;446,4075;508,0099;577,30615;773,6388
"2020-2";312,3076;485,3846;546,1357;601,00845;774,2628
"2021-1";273,1663;454,54425;518,4231;575,49985;756,8674
