"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","33","99","0","76","367","150","435","221","1381"
"2020","1","57","147","0","301","429","154","484","229","1801"
"2019","2","61","218","0","303","750","279","814","460","2885"
"2019","1","75","14","0","123","162","42","121","38","575"
"2018","2","50","113","0","253","450","175","453","228","1722"
"2018","1","40","143","0","248","476","183","481","225","1796"
"2017","2","44","110","0","257","418","149","525","246","1749"
"2017","1","49","127","0","296","475","189","518","226","1880"
"2016","2","42","126","0","263","422","171","512","188","1724"
"2016","1","50","143","0","133","427","172","539","209","1673"
"2015","2","63","123","0","398","382","144","479","171","1760"
"2015","1","56","127","0","163","379","131","398","179","1433"
"2014","2","68","94","0","326","365","120","408","177","1558"
"2014","1","60","117","0","103","351","115","424","179","1349"
"2013","2","43","115","0","320","386","131","520","169","1684"
"2013","1","54","86","0","132","288","103","360","194","1217"
"2012","2","60","121","0","314","429","130","425","224","1703"
"2012","1","48","99","0","130","270","112","330","193","1182"
"2011","2","54","103","0","238","283","168","431","191","1468"
"2011","1","83","104","0","339","440","215","385","236","1802"
"2010","2","40","98","0","194","378","244","163","153","1270"
"2010","1","56","154","0","394","593","272","714","204","2387"
"2009","2","60","102","0","320","260","200","245","143","1330"
"2009","1","79","133","0","293","409","205","768","252","2139"
