"Año","Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información","Total"
"2020","2","482","501","398","0","1381"
"2020","1","586","617","598","0","1801"
"2019","2","966","1007","912","0","2885"
"2019","1","216","167","192","0","575"
"2018","2","722","545","455","0","1722"
"2018","1","777","557","462","0","1796"
"2017","2","719","565","465","0","1749"
"2017","1","772","591","517","0","1880"
"2016","2","597","609","518","0","1724"
"2016","1","738","517","418","0","1673"
"2015","2","708","557","495","0","1760"
"2015","1","612","443","378","0","1433"
"2014","2","658","456","444","0","1558"
"2014","1","531","371","445","2","1349"
"2013","2","548","583","553","0","1684"
"2013","1","447","381","388","1","1217"
"2012","2","631","522","549","1","1703"
"2012","1","339","430","410","3","1182"
"2011","2","604","378","475","11","1468"
"2011","1","824","474","501","3","1802"
"2010","2","567","301","399","3","1270"
"2010","1","952","658","774","3","2387"
