"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","607","574","187","13","1381"
"2020","1","790","744","248","19","1801"
"2019","2","1369","1109","342","65","2885"
"2019","1","245","245","76","9","575"
"2018","2","755","705","233","29","1722"
"2018","1","739","756","258","43","1796"
"2017","2","703","735","253","58","1749"
"2017","1","777","799","245","59","1880"
"2016","2","682","760","235","47","1724"
"2016","1","645","746","227","55","1673"
"2015","2","704","767","238","51","1760"
"2015","1","574","609","210","40","1433"
"2014","2","562","725","228","43","1558"
"2014","1","503","586","194","66","1349"
"2013","2","593","728","262","101","1684"
"2013","1","471","508","174","64","1217"
"2012","2","583","826","243","51","1703"
"2012","1","400","550","190","42","1182"
"2011","2","471","738","216","43","1468"
"2011","1","611","850","261","80","1802"
"2010","2","436","605","206","23","1270"
"2010","1","790","1117","400","80","2387"
"2009","2","453","618","189","70","1330"
"2009","1","645","821","265","408","2139"
