"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","50","","26","1305","1381"
"2020","1","65","","41","1695","1801"
"2019","2","123","","80","2682","2885"
"2019","1","34","","7","534","575"
"2018","2","93","","24","1605","1722"
"2018","1","83","","28","1685","1796"
"2017","2","77","","26","1646","1749"
"2017","1","76","","19","1785","1880"
"2016","2","85","","16","1623","1724"
"2016","1","60","","12","1601","1673"
"2015","2","87","","10","1663","1760"
"2015","1","72","","7","1354","1433"
"2014","2","65","1","1","1491","1558"
"2014","1","67","","1","1281","1349"
"2013","2","93","","","1591","1684"
"2013","1","61","","","1156","1217"
"2012","2","78","","","1625","1703"
"2012","1","56","","","1126","1182"
"2011","2","65","","","1403","1468"
"2011","1","73","","","1729","1802"
"2010","2","54","2","","1214","1270"
"2010","1","103","","","2284","2387"
"2009","2","56","","","1274","1330"
"2009","1","71","","","2068","2139"
