"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","391","1482","494","126","0","2493"
"2020","1","795","1427","295","93","0","2610"
"2019","2","132","1834","516","137","0","2619"
"2019","1","730","1473","351","117","0","2671"
"2018","2","147","1697","576","170","0","2590"
"2018","1","915","1511","344","82","0","2852"
"2017","2","399","1444","534","154","0","2531"
"2017","1","464","1571","349","109","0","2493"
"2016","2","374","1491","585","121","0","2571"
"2016","1","451","1422","440","99","0","2412"
"2015","2","417","1456","535","124","0","2532"
"2015","1","962","1142","294","81","0","2479"
"2014","2","117","1610","623","158","0","2508"
"2014","1","853","1112","322","96","0","2383"
"2013","2","338","1382","467","121","0","2308"
"2013","1","402","1832","423","114","0","2771"
"2012","2","454","1558","460","148","0","2620"
"2012","1","1149","976","327","92","0","2544"
"2011","2","","","","","","0"
"2011","1","535","1613","459","122","2","2731"
"2010","2","551","1468","457","149","2","2627"
"2010","1","591","1545","349","93","4","2582"
"2009","2","524","1185","393","113","3","2218"
"2009","1","586","1432","302","99","0","2419"
