"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","1298","922","247","26","2493"
"2020","1","1179","1010","407","14","2610"
"2019","2","1265","980","359","15","2619"
"2019","1","1221","992","421","37","2671"
"2018","2","1226","1022","322","20","2590"
"2018","1","1269","1150","408","25","2852"
"2017","2","1128","999","366","38","2531"
"2017","1","1118","977","364","34","2493"
"2016","2","1227","1013","309","22","2571"
"2016","1","1083","943","351","35","2412"
"2015","2","1204","978","341","9","2532"
"2015","1","1106","994","363","16","2479"
"2014","2","1283","936","258","31","2508"
"2014","1","1176","925","271","11","2383"
"2013","2","1159","882","252","15","2308"
"2013","1","1249","1126","380","16","2771"
"2012","2","1271","1035","300","14","2620"
"2012","1","1161","1026","341","16","2544"
"2011","2","","","","","0"
"2011","1","1260","1098","355","18","2731"
"2010","2","1222","1096","294","15","2627"
"2010","1","1103","1090","368","21","2582"
"2009","2","1034","925","245","14","2218"
"2009","1","981","1099","322","17","2419"
