"Año","Periodo","Artes","Ciencias","Ciencias agrarias","Ciencias económicas","Ciencias humanas","Derecho, ciencias políticas y sociales","Enfermería","Ingeniería","Medicina","Medicina veterinaria y de zootecnia","Odontología","Total"
"2020","2","209","340","74","255","378","137","81","670","185","99","65","2493"
"2020","1","228","360","76","227","478","131","57","650","240","97","66","2610"
"2019","2","228","349","81","292","377","159","65","696","215","97","60","2619"
"2019","1","225","366","77","302","460","152","59","641","252","95","42","2671"
"2018","2","228","353","70","311","371","156","99","646","201","98","57","2590"
"2018","1","230","392","93","295","485","145","135","661","267","97","52","2852"
"2017","2","220","364","94","273","358","149","85","629","207","94","58","2531"
"2017","1","233","357","99","187","445","125","67","603","244","89","44","2493"
"2016","2","245","382","110","193","425","141","78","646","207","97","47","2571"
"2016","1","227","361","68","171","474","123","53","580","238","81","36","2412"
"2015","2","245","385","91","214","398","144","75","639","215","86","40","2532"
"2015","1","243","337","60","175","493","137","62","600","237","89","46","2479"
"2014","2","241","360","72","194","426","144","82","634","214","100","41","2508"
"2014","1","230","335","75","183","435","126","29","641","210","77","42","2383"
"2013","2","212","332","69","211","407","126","58","592","182","83","36","2308"
"2013","1","235","370","119","224","526","158","85","670","236","99","49","2771"
"2012","2","200","396","103","214","459","148","68","694","200","94","44","2620"
"2012","1","220","420","105","183","514","149","82","665","105","52","49","2544"
"2011","2","185","310","43","176","363","128","56","553","160","74","42","2090"
"2011","1","224","434","63","242","470","151","81","693","216","106","51","2731"
"2010","2","227","436","59","244","382","165","81","701","198","80","54","2627"
"2010","1","232","390","58","239","438","157","78","643","213","81","53","2582"
"2009","2","203","335","59","158","291","141","85","597","215","84","50","2218"
"2009","1","214","328","55","148","474","148","75","600","238","95","44","2419"
