"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","58","2","0","25","50","135"
"2020","1","61","62","30","45","20","218"
"2019","2","57","14","4","14","30","119"
"2019","1","72","45","44","43","28","232"
"2018","2","63","18","4","16","27","128"
"2018","1","74","59","41","53","13","240"
"2017","2","48","20","1","11","21","101"
"2017","1","58","41","25","34","11","169"
"2016","2","58","18","1","5","9","91"
"2016","1","58","57","34","31","0","180"
"2015","2","44","24","0","3","0","71"
"2015","1","55","45","39","36","2","177"
"2014","2","50","15","1","7","0","73"
"2014","1","52","42","29","27","0","150"
"2013","2","49","15","1","3","0","68"
"2013","1","56","34","53","42","0","185"
"2012","2","64","27","6","19","0","116"
"2012","1","62","39","52","35","0","188"
"2011","2","38","35","41","21","0","135"
"2011","1","68","37","56","42","0","203"
"2010","2","62","24","22","0","0","108"
"2010","1","80","39","55","9","0","183"
"2009","2","46","20","35","0","0","101"
"2009","1","47","69","45","0","0","161"
