"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","502","295","1041","655","0","2493"
"2020","1","384","276","1170","780","0","2610"
"2019","2","440","338","1080","761","0","2619"
"2019","1","386","276","1207","802","0","2671"
"2018","2","433","338","1075","744","0","2590"
"2018","1","449","330","1200","873","0","2852"
"2017","2","411","342","1047","731","0","2531"
"2017","1","404","257","1032","800","0","2493"
"2016","2","461","369","1081","660","0","2571"
"2016","1","392","278","1024","717","1","2412"
"2015","2","477","344","1054","657","0","2532"
"2015","1","459","296","1069","655","0","2479"
"2014","2","671","380","997","460","0","2508"
"2014","1","635","327","955","466","0","2383"
"2013","2","638","363","877","430","0","2308"
"2013","1","680","422","1077","592","0","2771"
"2012","2","730","410","1012","468","0","2620"
"2012","1","620","329","1016","579","0","2544"
"2011","2","","","","","","0"
"2011","1","691","377","1097","566","0","2731"
"2010","2","649","416","1045","517","0","2627"
"2010","1","574","362","1042","604","0","2582"
