"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","958","1605","0","3875","5583","2561","8429","3521","26532"
"2020","1","994","1673","0","3905","5687","2472","8270","3450","26451"
"2019","2","991","1739","0","3809","5628","2468","8106","3443","26184"
"2019","1","974","1725","0","3742","5632","2343","7927","3410","25753"
"2018","2","1002","1726","0","3631","5632","2249","7929","3444","25613"
"2018","1","995","1737","0","3632","5750","2187","7825","3443","25569"
"2017","2","972","1747","0","3497","5688","2085","7801","3466","25256"
"2017","1","953","1764","0","3467","5695","1992","7775","3452","25098"
"2016","2","933","1731","0","3451","5729","2019","7775","3459","25097"
"2016","1","915","1746","0","3438","5714","2031","7718","3374","24936"
"2015","2","925","1737","0","3448","5644","2066","7785","3386","24991"
"2015","1","942","1725","0","3493","5639","2037","7790","3295","24921"
"2014","2","955","1683","0","3492","5606","2045","7855","3295","24931"
"2014","1","955","1638","0","3462","5532","2014","7821","3253","24675"
"2013","2","967","1601","0","3424","5464","2006","7816","3250","24528"
"2013","1","986","1642","0","3481","5455","1956","7915","3232","24667"
"2012","2","981","1565","0","3349","5281","1866","7667","3174","23883"
"2012","1","976","1601","0","3418","5223","1818","7480","3165","23681"
"2011","2","978","1603","0","3487","5048","1790","7217","3029","23152"
"2011","1","1020","1595","0","3524","5081","1849","7093","2985","23147"
"2010","2","985","1531","0","3556","4888","1852","6913","2946","22671"
"2010","1","987","1540","0","3602","5004","1907","6832","2781","22653"
"2009","2","980","1510","0","3635","4967","1971","6682","2727","22472"
"2009","1","993","1495","0","3662","5020","2011","6630","2714","22525"
