"Año","Periodo","Artes","Ciencias","Ciencias agrarias","Ciencias económicas","Ciencias humanas","Derecho, ciencias políticas y sociales","Enfermería","Ingeniería","Medicina","Medicina veterinaria y de zootecnia","Odontología","Total"
"2020","2","2343","3656","734","2561","4079","1504","701","6822","2594","958","580","26532"
"2020","1","2407","3560","710","2472","4182","1505","695","6716","2643","994","567","26451"
"2019","2","2464","3531","695","2468","4119","1509","697","6598","2577","991","535","26184"
"2019","1","2435","3484","679","2343","4158","1474","669","6464","2545","974","528","25753"
"2018","2","2435","3491","678","2249","4168","1464","652","6495","2464","1002","515","25613"
"2018","1","2422","3475","689","2187","4277","1473","632","6419","2478","995","522","25569"
"2017","2","2414","3466","680","2085","4195","1493","575","6454","2398","972","524","25256"
"2017","1","2439","3452","683","1992","4253","1442","560","6417","2386","953","521","25098"
"2016","2","2394","3459","658","2019","4253","1476","576","6454","2346","933","529","25097"
"2016","1","2404","3374","608","2031","4244","1470","579","6452","2341","915","518","24936"
"2015","2","2403","3386","634","2066","4206","1438","604","6485","2303","925","541","24991"
"2015","1","2387","3295","636","2037","4176","1463","622","6492","2321","942","550","24921"
"2014","2","2345","3295","646","2045","4131","1475","658","6547","2294","955","540","24931"
"2014","1","2294","3253","652","2014","4096","1436","618","6513","2289","955","555","24675"
"2013","2","2275","3250","655","2006","4031","1433","621","6487","2244","967","559","24528"
"2013","1","2348","3232","678","1956","4001","1454","619","6531","2293","986","569","24667"
"2012","2","2279","3174","657","1866","3860","1421","609","6296","2165","981","575","23883"
"2012","1","2302","3165","633","1818","3814","1409","651","6146","2202","976","565","23681"
"2011","2","2309","3029","597","1790","3672","1376","647","5914","2294","978","546","23152"
"2011","1","2315","2985","569","1849","3677","1404","652","5804","2343","1020","529","23147"
"2010","2","2245","2946","588","1852","3554","1334","686","5611","2359","985","511","22671"
"2010","1","2272","2781","581","1907","3629","1375","719","5519","2340","987","543","22653"
"2009","2","2220","2727","592","1971","3615","1352","744","5380","2371","980","520","22472"
"2009","1","2194","2714","582","2011","3697","1323","775","5349","2365","993","522","22525"
