"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","556","363","170","259","171","1519"
"2020","1","522","399","185","252","123","1481"
"2019","2","511","356","165","220","111","1363"
"2019","1","500","373","187","218","89","1367"
"2018","2","498","354","172","205","68","1297"
"2018","1","510","380","204","218","45","1357"
"2017","2","479","358","179","185","38","1239"
"2017","1","485","360","203","185","19","1252"
"2016","2","480","365","173","157","11","1186"
"2016","1","467","391","212","163","2","1235"
"2015","2","453","365","195","137","0","1150"
"2015","1","468","350","267","151","2","1238"
"2014","2","465","349","257","122","0","1193"
"2014","1","451","375","285","122","0","1233"
"2013","2","441","372","282","96","0","1191"
"2013","1","461","402","326","119","0","1308"
"2012","2","454","406","295","86","0","1241"
"2012","1","443","404","336","87","0","1270"
"2011","2","413","415","312","54","0","1194"
"2011","1","426","442","342","66","0","1276"
"2010","2","410","439","314","3","0","1166"
"2010","1","413","459","332","9","0","1213"
"2009","2","380","460","308","0","0","1148"
"2009","1","370","475","311","0","0","1156"
