"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","5508","3489","10847","6688","0","26532"
"2020","1","5367","3428","10774","6880","2","26451"
"2019","2","5399","3456","10623","6705","1","26184"
"2019","1","5385","3415","10396","6555","2","25753"
"2018","2","5551","3454","10228","6379","1","25613"
"2018","1","5682","3469","10143","6274","1","25569"
"2017","2","5697","3524","10098","5936","1","25256"
"2017","1","5825","3478","10056","5739","0","25098"
"2016","2","5951","3595","10099","5452","0","25097"
"2016","1","5993","3564","10025","5353","1","24936"
"2015","2","6101","3637","10046","5206","1","24991"
"2015","1","6153","3707","10029","5032","0","24921"
"2014","2","6335","3823","9913","4858","2","24931"
"2014","1","6217","3808","9825","4825","0","24675"
"2013","2","6030","3874","9870","4754","0","24528"
"2013","1","5907","3911","10047","4802","0","24667"
"2012","2","5631","3853","9755","4644","0","23883"
"2012","1","5423","3824","9760","4674","0","23681"
"2011","2","","","","","","0"
"2011","1","5056","3879","9660","4552","0","23147"
"2010","2","4814","3895","9498","4464","0","22671"
"2010","1","4637","3949","9512","4555","0","22653"
