"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","16745","9787","26532"
"2020","1","16851","9600","26451"
"2019","2","16777","9407","26184"
"2019","1","16561","9192","25753"
"2018","2","16576","9037","25613"
"2018","1","16568","9001","25569"
"2017","2","16473","8783","25256"
"2017","1","16314","8784","25098"
"2016","2","16386","8711","25097"
"2016","1","16347","8589","24936"
"2015","2","16427","8564","24991"
"2015","1","16352","8569","24921"
"2014","2","16290","8641","24931"
"2014","1","16058","8617","24675"
"2013","2","15950","8578","24528"
"2013","1","15920","8747","24667"
"2012","2","15318","8565","23883"
"2012","1","15077","8604","23681"
"2011","2","14694","8458","23152"
"2011","1","14671","8476","23147"
"2010","2","14113","8558","22671"
"2010","1","14024","8629","22653"
"2009","2","13610","8862","22472"
"2009","1","13568","8957","22525"
