"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","1520","","1351","23661","26532"
"2020","1","1481","","1229","23741","26451"
"2019","2","1363","","1126","23695","26184"
"2019","1","1367","","1061","23325","25753"
"2018","2","1297","","921","23395","25613"
"2018","1","1357","","829","23383","25569"
"2017","2","1239","","741","23276","25256"
"2017","1","1252","","696","23150","25098"
"2016","2","1186","","584","23327","25097"
"2016","1","1235","","563","23138","24936"
"2015","2","1150","","545","23296","24991"
"2015","1","1238","","518","23165","24921"
"2014","2","1193","","461","23277","24931"
"2014","1","1233","1","571","22870","24675"
"2013","2","1191","1","312","23024","24528"
"2013","1","1308","1","328","23030","24667"
"2012","2","1241","1","225","22416","23883"
"2012","1","1270","2","179","22230","23681"
"2011","2","1194","2","128","21828","23152"
"2011","1","1276","3","93","21775","23147"
"2010","2","1166","3","63","21439","22671"
"2010","1","1213","3","35","21402","22653"
"2009","2","1148","7","20","21297","22472"
"2009","1","1156","4","8","21357","22525"
