"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-2",8,9,2,0
"2009-1",34,6,0,0
"2009-2",5,2,0,0
"2010-1",29,17,4,0
"2010-2",7,8,0,0
"2011-1",23,16,1,0
"2011-2",10,5,0,0
"2012-1",25,14,1,0
"2012-2",11,1,0,0
"2013-1",20,15,1,0
"2013-2",11,8,0,0
"2014-1",12,6,0,0
"2014-2",4,1,3,0
"2015-1",17,14,3,0
"2015-2",5,0,0,0
"2016-1",28,10,1,0
"2016-2",15,5,0,0
"2017-1",31,12,2,0
"2017-2",21,3,0,0
"2018-1",52,10,2,0
"2018-2",13,3,1,0
"2019-1",72,11,1,0
"2019-2",7,2,0,0
"2020-1",31,12,0,0
"2020-2",32,6,1,0
