"Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE"
"2008-2",33,20,4,1
"2009-1",246,23,3,0
"2009-2",14,12,0,0
"2010-1",262,61,8,2
"2010-2",20,13,0,0
"2011-1",213,49,3,1
"2011-2",40,12,2,0
"2012-1",143,40,3,0
"2012-2",38,15,0,0
"2013-1",56,29,3,0
"2013-2",89,19,1,0
"2014-1",88,26,2,0
"2014-2",20,7,4,0
"2015-1",118,48,12,0
"2015-2",30,5,0,0
"2016-1",192,31,6,0
"2016-2",77,19,0,0
"2017-1",132,42,3,0
"2017-2",105,9,2,1
"2018-1",175,29,2,0
"2018-2",85,15,2,0
"2019-1",224,34,2,0
"2019-2",76,11,0,0
"2020-1",148,33,5,0
"2020-2",81,18,1,0
