"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2021","1","3637","2052","811","136","2","6638"
"2020","2","2065","2529","1028","217","0","5839"
"2020","1","4719","1602","508","171","3","7003"
"2019","2","2475","2478","912","296","2","6163"
"2019","1","5040","1127","554","218","12","6951"
"2018","2","2403","2492","1060","328","0","6283"
"2018","1","4819","1622","592","163","0","7196"
"2017","2","2244","2309","1036","333","1","5923"
"2017","1","4369","1522","607","214","1","6713"
"2016","2","2167","2372","1012","331","0","5882"
"2016","1","3992","1573","654","221","2","6442"
"2015","2","2042","2374","921","284","1","5622"
"2015","1","4098","1532","559","176","0","6365"
"2014","2","2320","2252","876","279","0","5727"
"2014","1","3621","1315","485","167","0","5588"
"2013","2","2152","1927","717","238","0","5034"
"2013","1","3953","1579","570","218","2","6322"
"2012","2","2469","2108","749","260","0","5586"
"2012","1","4169","1596","632","195","0","6592"
"2011","2","2420","2115","866","306","2","5709"
"2011","1","4125","1732","633","210","3","6703"
"2010","2","2543","2119","868","292","1","5823"
"2010","1","4130","1542","585","201","9","6467"
"2009","2","2631","1875","740","237","2","5485"
"2009","1","3647","1319","405","142","2","5515"
"2008","2","2516","1885","804","274","2","5481"
"2008","1","3726","1290","518","156","5","5695"
