"Año","Periodo","No","Sí","Total"
"2021","1","52091","6638","58729"
"2020","2","34626","5839","40465"
"2020","1","54881","7003","61884"
"2019","2","33681","6163","39844"
"2019","1","68730","6951","75681"
"2018","2","37905","6283","44188"
"2018","1","61213","7196","68409"
"2017","2","37317","5923","43240"
"2017","1","64014","6713","70727"
"2016","2","32976","5882","38858"
"2016","1","61264","6442","67706"
"2015","2","35737","5622","41359"
"2015","1","56955","6365","63320"
"2014","2","32912","5727","38639"
"2014","1","61467","5588","67055"
"2013","2","36115","5034","41149"
"2013","1","62480","6322","68802"
"2012","2","29222","5586","34808"
"2012","1","65409","6592","72001"
"2011","2","39033","5709","44742"
"2011","1","63928","6703","70631"
"2010","2","34610","5823","40433"
"2010","1","60016","6467","66483"
"2009","2","31688","5485","37173"
"2009","1","50487","5515","56002"
"2008","2","32170","5481","37651"
"2008","1","51483","5695","57178"
