"Año","Periodo","No","Sí","Total"
"2021","1","58339","390","58729"
"2020","2","40151","314","40465"
"2020","1","61606","278","61884"
"2019","2","39634","210","39844"
"2019","1","75582","99","75681"
"2018","2","44091","97","44188"
"2018","1","68330","79","68409"
"2017","2","43152","88","43240"
"2017","1","70649","78","70727"
"2016","2","38735","123","38858"
"2016","1","67625","81","67706"
"2015","2","41304","55","41359"
"2015","1","63254","66","63320"
"2014","2","38594","45","38639"
"2014","1","66994","61","67055"
"2013","2","41103","46","41149"
"2013","1","68739","63","68802"
"2012","2","34782","26","34808"
"2012","1","71956","45","72001"
"2011","2","44718","24","44742"
"2011","1","70591","40","70631"
"2010","2","40397","36","40433"
"2010","1","66448","35","66483"
"2009","2","37148","25","37173"
"2009","1","55966","36","56002"
"2008","2","37651","","37651"
"2008","1","57178","","57178"
