"Año","Periodo","PAES","PEAMA","Regular","Total"
"2021","1","5856","3615","49258","58729"
"2020","2","7271","3463","29731","40465"
"2020","1","8317","4433","49134","61884"
"2019","2","4681","2740","32423","39844"
"2019","1","12814","6805","56062","75681"
"2018","2","4124","3930","36134","44188"
"2018","1","8238","4649","55522","68409"
"2017","2","3032","2303","37905","43240"
"2017","1","5528","4189","61010","70727"
"2016","2","2405","1376","35077","38858"
"2016","1","4532","2391","60783","67706"
"2015","2","1568","1309","38482","41359"
"2015","1","3944","1917","57459","63320"
"2014","2","1388","692","36559","38639"
"2014","1","3307","1410","62338","67055"
"2013","2","1272","744","39133","41149"
"2013","1","3817","1257","63728","68802"
"2012","2","1015","550","33243","34808"
"2012","1","4626","1797","65578","72001"
"2011","2","996","543","43203","44742"
"2011","1","4432","1540","64659","70631"
"2010","2","1099","422","38912","40433"
"2010","1","2199","1073","63211","66483"
"2009","2","1110","350","35713","37173"
"2009","1","1852","751","53399","56002"
"2008","2","1345","389","35917","37651"
"2008","1","1928","253","54997","57178"
