"Año","Periodo","23 años o menos","24 a 25 años","26 o más años","Sin información","Total"
"2020","2","704","720","582","0","2006"
"2020","1","1035","1024","904","0","2963"
"2019","2","1602","1563","1436","0","4601"
"2019","1","408","323","281","0","1012"
"2018","2","1271","893","773","0","2937"
"2018","1","1369","880","769","0","3018"
"2017","2","1311","897","752","0","2960"
"2017","1","1352","910","800","0","3062"
"2016","2","1134","940","794","0","2868"
"2016","1","1294","852","693","0","2839"
"2015","2","1251","877","782","0","2910"
"2015","1","1145","746","664","0","2555"
"2014","2","1126","761","696","0","2583"
"2014","1","987","644","708","2","2341"
"2013","2","923","904","914","0","2741"
"2013","1","836","738","699","1","2274"
"2012","2","1057","906","872","2","2837"
"2012","1","611","781","686","4","2082"
"2011","2","896","504","646","12","2058"
"2011","1","1351","752","809","6","2918"
"2010","2","1098","603","689","5","2395"
"2010","1","1529","1096","1164","6","3795"
