"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","928","801","262","15","2006"
"2020","1","1374","1147","419","23","2963"
"2019","2","2221","1719","563","98","4601"
"2019","1","467","387","143","15","1012"
"2018","2","1360","1157","383","37","2937"
"2018","1","1385","1170","409","54","3018"
"2017","2","1277","1178","437","68","2960"
"2017","1","1332","1253","401","76","3062"
"2016","2","1194","1241","385","48","2868"
"2016","1","1173","1191","404","71","2839"
"2015","2","1217","1214","386","93","2910"
"2015","1","1090","1016","364","85","2555"
"2014","2","1010","1128","367","78","2583"
"2014","1","952","946","340","103","2341"
"2013","2","1054","1123","402","162","2741"
"2013","1","940","920","312","102","2274"
"2012","2","1071","1297","408","61","2837"
"2012","1","787","894","325","76","2082"
"2011","2","717","975","318","48","2058"
"2011","1","1056","1322","442","98","2918"
"2010","2","881","1089","396","29","2395"
"2010","1","1337","1719","651","88","3795"
"2009","2","821","979","300","100","2200"
"2009","1","1051","1278","423","706","3458"
