"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","Total"
"2020","2","15","2","25","42"
"2020","1","34","4","29","67"
"2019","2","42","21","56","119"
"2019","1","5","2","8","15"
"2018","2","12","13","29","54"
"2018","1","18","4","28","50"
"2017","2","18","8","22","48"
"2017","1","15","9","19","43"
"2016","2","10","9","20","39"
"2016","1","1","3","15","19"
"2015","2","7","3","14","24"
"2015","1","","2","15","17"
"2014","2","1","1","6","8"
"2014","1","","","4","4"
"2013","2","1","1","","2"
