"Año","Periodo","Amazonía","Bogotá","Caribe","La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Total"
"2020","2","15","1355","2","0","301","155","25","153","0","2006"
"2020","1","34","1760","4","0","400","597","29","139","0","2963"
"2019","2","42","2805","21","0","509","959","56","209","0","4601"
"2019","1","5","568","2","0","86","231","8","112","0","1012"
"2018","2","12","1698","13","0","291","664","29","230","0","2937"
"2018","1","18","1768","4","0","345","594","28","261","0","3018"
"2017","2","18","1723","8","0","352","623","22","214","0","2960"
"2017","1","15","1861","9","0","364","613","19","181","0","3062"
"2016","2","10","1708","9","0","328","601","20","192","0","2868"
"2016","1","1","1661","3","0","349","637","15","173","0","2839"
"2015","2","7","1750","3","0","310","677","14","149","0","2910"
"2015","1","0","1426","2","0","317","622","15","173","0","2555"
"2014","2","1","1557","1","0","254","620","6","144","0","2583"
"2014","1","0","1348","0","0","279","592","4","118","0","2341"
"2013","2","1","1684","1","0","297","608","0","150","0","2741"
"2013","1","0","1217","0","0","294","625","0","138","0","2274"
"2012","2","0","1703","0","0","286","708","0","140","0","2837"
"2012","1","0","1182","0","0","252","561","0","87","0","2082"
"2011","2","0","1468","0","0","324","191","0","75","0","2058"
"2011","1","0","1802","0","0","304","650","0","162","0","2918"
"2010","2","0","1270","0","0","351","622","0","152","0","2395"
"2010","1","0","2387","0","0","404","852","0","152","0","3795"
"2009","2","0","1330","0","0","381","301","0","188","0","2200"
"2009","1","0","2139","0","0","415","732","0","172","0","3458"
