"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","1644","697","1945","843","0","5129"
"2020","1","1383","714","2091","1102","0","5290"
"2019","2","1472","766","2018","975","0","5231"
"2019","1","1316","711","2182","1161","0","5370"
"2018","2","1343","729","2001","1060","0","5133"
"2018","1","1240","741","2100","1307","0","5388"
"2017","2","1244","749","1900","1037","1","4931"
"2017","1","1195","651","1964","1203","0","5013"
"2016","2","1292","814","1936","922","0","4964"
"2016","1","1149","673","1916","1121","1","4860"
"2015","2","1244","726","1819","928","2","4719"
"2015","1","1105","658","2034","1116","0","4913"
"2014","2","1447","816","1814","765","0","4842"
"2014","1","1192","606","1690","790","0","4278"
"2013","2","1377","716","1545","646","0","4284"
"2013","1","1369","810","1908","975","0","5062"
"2012","2","1504","835","1688","711","0","4738"
"2012","1","1509","761","1864","917","0","5051"
"2011","2","","","","","","0"
"2011","1","1520","866","2035","964","0","5385"
"2010","2","1405","825","1779","728","0","4737"
"2010","1","1368","818","1953","957","0","5096"
