"Año","Periodo","Amazonía","Bogotá","Caribe","La Paz","Manizales","Medellín","Orinoquía","Palmira","Tumaco","Total"
"2020","2","94","2493","32","183","454","1233","203","275","162","5129"
"2020","1","100","2610","35","206","567","1172","186","260","154","5290"
"2019","2","84","2619","7","201","454","1341","203","258","64","5231"
"2019","1","105","2671","69","0","536","1348","195","237","209","5370"
"2018","2","108","2590","13","0","459","1364","200","272","127","5133"
"2018","1","104","2852","52","0","536","1272","186","246","140","5388"
"2017","2","65","2531","19","0","499","1357","131","267","62","4931"
"2017","1","89","2493","34","0","615","1284","137","243","118","5013"
"2016","2","52","2571","18","0","504","1401","85","255","78","4964"
"2016","1","70","2412","26","0","626","1296","63","318","49","4860"
"2015","2","46","2532","5","0","481","1274","50","281","50","4719"
"2015","1","68","2479","9","0","618","1323","67","300","49","4913"
"2014","2","54","2508","8","0","530","1337","70","335","0","4842"
"2014","1","68","2383","13","0","439","1151","89","135","0","4278"
"2013","2","69","2308","19","0","451","1158","66","213","0","4284"
"2013","1","71","2771","30","0","633","1174","63","320","0","5062"
"2012","2","70","2620","10","0","529","1111","65","333","0","4738"
"2012","1","67","2544","33","0","625","1293","72","417","0","5051"
"2011","2","0","2090","0","0","422","986","0","248","0","3746"
"2011","1","60","2731","33","0","626","1515","74","346","0","5385"
"2010","2","57","2627","11","0","457","1319","31","235","0","4737"
"2010","1","42","2582","24","0","663","1451","45","289","0","5096"
"2009","2","35","2218","6","0","365","1198","46","277","0","4145"
"2009","1","0","2419","29","0","474","1239","44","11","0","4216"
