"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","1674","2077","0","3940","6775","4527","23770","4516","47279"
"2020","1","1431","1993","0","3958","5946","4383","14784","3863","36358"
"2019","2","1634","2193","0","3865","6750","4284","22621","4233","45580"
"2019","1","1622","2183","0","3820","6716","4150","21999","4131","44621"
"2018","2","1616","2202","0","3699","6683","4073","22047","4093","44413"
"2018","1","1591","2227","0","3685","6740","4036","21921","4075","44275"
"2017","2","1558","2236","0","3533","6630","3943","21892","4098","43890"
"2017","1","1582","2257","0","3500","6594","3927","21962","4075","43897"
"2016","2","1551","2218","0","3489","6645","3890","21972","4033","43798"
"2016","1","1535","2230","0","3466","6591","3939","21862","3932","43555"
"2015","2","1523","2219","0","3476","6541","3872","21897","3881","43409"
"2015","1","1550","2226","0","3518","6494","3871","21749","3776","43184"
"2014","2","1549","2177","0","3517","6425","3795","21623","3751","42837"
"2014","1","1523","2110","0","3490","6357","3733","21370","3710","42293"
"2013","2","1615","2096","0","3453","6347","3814","21212","3747","42284"
"2013","1","1718","2124","0","3492","6357","3811","21214","3712","42428"
"2012","2","1680","2051","0","3349","6198","3628","20926","3673","41505"
"2012","1","1706","2070","0","3418","6171","3548","20793","3634","41340"
"2011","2","1678","2068","0","3487","6032","3414","20080","3482","40241"
"2011","1","1732","2045","0","3524","6082","3512","19868","3462","40225"
"2010","2","1673","1993","0","3556","5789","3506","19227","3340","39084"
"2010","1","1724","2016","0","3602","5899","3601","19241","3231","39314"
"2009","2","1722","1968","0","3635","5837","3633","18780","3105","38680"
"2009","1","1755","1946","0","3662","5877","3677","19038","3110","39065"
