"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","1815","18079","21349","6035","1","47279"
"2020","1","1804","13010","16765","4778","1","36358"
"2019","2","561","16169","22408","6442","0","45580"
"2019","1","1590","15294","21527","6209","1","44621"
"2018","2","649","15275","22181","6308","0","44413"
"2018","1","1967","14710","21687","5911","0","44275"
"2017","2","1723","15516","21118","5533","0","43890"
"2017","1","1094","13686","22742","6375","0","43897"
"2016","2","1611","15326","21336","5525","0","43798"
"2016","1","974","13337","22842","6402","0","43555"
"2015","2","1821","15675","20599","5314","0","43409"
"2015","1","2324","14920","20733","5206","1","43184"
"2014","2","398","13566","22729","6143","1","42837"
"2014","1","1847","14779","20371","5295","1","42293"
"2013","2","1322","15869","19807","5279","7","42284"
"2013","1","803","14229","21254","6134","8","42428"
"2012","2","1637","16205","18569","5083","11","41505"
"2012","1","2777","15831","17753","4960","19","41340"
"2011","2","","","","","","0"
"2011","1","1208","14150","19030","5811","26","40225"
"2010","2","1977","14478","17463","5138","28","39084"
"2010","1","1251","12877","19080","6076","30","39314"
"2009","2","2004","13719","17590","5312","55","38680"
"2009","1","1201","12450","19150","6264","0","39065"
