"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","25571","15864","5470","374","47279"
"2020","1","19128","12489","4436","305","36358"
"2019","2","23624","15962","5645","349","45580"
"2019","1","22835","15790","5610","386","44621"
"2018","2","22562","15886","5552","413","44413"
"2018","1","22256","16026","5547","446","44275"
"2017","2","21965","16066","5447","412","43890"
"2017","1","21792","16153","5479","473","43897"
"2016","2","21619","16301","5388","490","43798"
"2016","1","21167","16443","5438","507","43555"
"2015","2","20940","16496","5367","606","43409"
"2015","1","20514","16638","5305","727","43184"
"2014","2","20292","16533","5170","842","42837"
"2014","1","19920","16500","5154","719","42293"
"2013","2","19669","16615","5211","789","42284"
"2013","1","19255","16838","5366","969","42428"
"2012","2","18953","16590","5210","752","41505"
"2012","1","18581","16816","5245","698","41340"
"2011","2","","","","","0"
"2011","1","17527","16756","5316","626","40225"
"2010","2","16763","16530","5200","591","39084"
"2010","1","16510","16828","5403","573","39314"
"2009","2","16072","16771","5281","556","38680"
"2009","1","15842","17161","5473","589","39065"
