"Año","Periodo","Oficial","Otros","Privado","Sin información","Total"
"2020","2","25120","861","21249","49","47279"
"2020","1","17961","764","17585","48","36358"
"2019","2","23469","874","21180","57","45580"
"2019","1","22835","853","20866","67","44621"
"2018","2","22742","879","20709","83","44413"
"2018","1","22636","977","20662","0","44275"
"2017","2","22675","811","20286","118","43890"
"2017","1","22620","771","20337","169","43897"
"2016","2","22710","738","20160","190","43798"
"2016","1","22431","731","20150","243","43555"
"2015","2","22332","723","20071","283","43409"
"2015","1","22165","700","19990","329","43184"
"2014","2","22162","681","19620","374","42837"
"2014","1","21679","643","19565","406","42293"
"2013","2","21474","664","19686","460","42284"
"2013","1","21384","659","19887","498","42428"
"2012","2","20951","765","19285","504","41505"
"2012","1","20626","782","19383","549","41340"
"2011","2","","","","","0"
"2011","1","19714","835","19057","619","40225"
"2010","2","18711","1907","17811","655","39084"
"2010","1","18673","1930","17992","719","39314"
