"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Medellín - Sinifaná","PEAMA - Orinoquía","PEAMA - Sede Bogotá - Sumapaz","PEAMA - Sede Manizales - Caldas","PEAMA - Tumaco","Total"
"2020","2","723","196","27","1343","77","19","888","3273"
"2020","1","600","137","2","1000","77","18","663","2497"
"2019","2","679","178","34","1137","54","18","664","2764"
"2019","1","656","208","63","1036","55","21","694","2733"
"2018","2","638","162","","970","40","24","510","2344"
"2018","1","587","184","","871","27","24","414","2107"
"2017","2","528","154","","760","27","27","296","1792"
"2017","1","528","150","","692","29","34","265","1698"
"2016","2","487","138","","607","","","181","1413"
"2016","1","474","143","","581","","","125","1323"
"2015","2","449","130","","554","","","74","1207"
"2015","1","448","132","","545","","","49","1174"
"2014","2","389","138","","524","","","","1051"
"2014","1","506","160","","626","","","","1292"
"2013","2","367","138","","435","","","","940"
"2013","1","333","141","","405","","","","879"
"2012","2","291","110","","341","","","","742"
"2012","1","244","114","","334","","","","692"
"2011","2","231","86","","290","","","","607"
"2011","1","202","90","","258","","","","550"
"2010","2","166","62","","178","","","","406"
"2010","1","124","58","","170","","","","352"
"2009","2","75","40","","150","","","","265"
"2009","1","43","40","","106","","","","189"
