"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","29511","17768","47279"
"2020","1","22799","13559","36358"
"2019","2","29013","16567","45580"
"2019","1","28518","16103","44621"
"2018","2","28565","15848","44413"
"2018","1","28529","15746","44275"
"2017","2","28390","15500","43890"
"2017","1","28370","15527","43897"
"2016","2","28358","15440","43798"
"2016","1","28320","15235","43555"
"2015","2","28375","15034","43409"
"2015","1","28176","15008","43184"
"2014","2","27887","14950","42837"
"2014","1","27456","14837","42293"
"2013","2","27274","15010","42284"
"2013","1","27190","15238","42428"
"2012","2","26409","15096","41505"
"2012","1","26171","15169","41340"
"2011","2","25450","14791","40241"
"2011","1","25403","14822","40225"
"2010","2","24350","14734","39084"
"2010","1","24364","14950","39314"
"2009","2","23577","15103","38680"
"2009","1","23827","15238","39065"
