"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","345","241","71","8","665"
"2020","2","318","156","43","4","521"
"2020","1","400","230","73","4","707"
"2019","2","315","167","60","8","550"
"2019","1","410","226","88","10","734"
"2018","2","285","161","86","12","544"
"2018","1","385","223","81","16","705"
"2017","2","303","203","90","9","605"
"2017","1","371","311","95","8","785"
"2016","2","273","213","93","8","587"
"2016","1","446","278","94","7","825"
"2015","2","302","186","91","6","585"
"2015","1","352","277","121","6","756"
"2014","2","257","242","98","13","610"
"2014","1","342","244","80","6","672"
"2013","2","279","196","71","4","550"
"2013","1","361","309","113","5","788"
"2012","2","281","243","113","5","642"
"2012","1","340","284","123","5","752"
"2011","2","232","228","105","6","571"
"2011","1","360","265","134","6","765"
"2010","2","216","212","92","4","524"
"2010","1","340","326","118","5","789"
"2009","2","249","203","78","4","534"
"2009","1","275","317","105","12","709"
"2008","2","222","236","109","5","572"
"2008","1","229","252","90","24","595"
