"Año","Periodo","Administración","Ciencias exactas y naturales","Ingeniería y arquitectura","Total"
"2021","1","238","91","336","665"
"2020","2","168","43","310","521"
"2020","1","237","115","355","707"
"2019","2","132","66","352","550"
"2019","1","271","117","346","734"
"2018","2","128","57","359","544"
"2018","1","253","107","345","705"
"2017","2","152","100","353","605"
"2017","1","287","116","382","785"
"2016","2","150","79","358","587"
"2016","1","298","140","387","825"
"2015","2","151","80","354","585"
"2015","1","273","110","373","756"
"2014","2","182","82","346","610"
"2014","1","226","90","356","672"
"2013","2","146","92","312","550"
"2013","1","291","110","387","788"
"2012","2","200","91","351","642"
"2012","1","283","101","368","752"
"2011","2","138","96","337","571"
"2011","1","255","143","367","765"
"2010","2","175","0","349","524"
"2010","1","255","141","393","789"
"2009","2","190","0","344","534"
"2009","1","254","108","347","709"
"2008","2","237","0","335","572"
"2008","1","232","39","324","595"
