"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2021","1","20","0","2","19","31","72"
"2020","2","46","0","0","3","28","77"
"2020","1","28","3","8","24","19","82"
"2019","2","36","0","0","3","22","61"
"2019","1","28","0","16","19","42","105"
"2018","2","33","2","0","5","29","69"
"2018","1","23","2","16","21","16","78"
"2017","2","17","1","0","5","22","45"
"2017","1","16","2","15","14","6","53"
"2016","2","21","0","0","3","13","37"
"2016","1","22","2","17","14","5","60"
"2015","2","16","1","0","1","4","22"
"2015","1","18","0","13","14","4","49"
"2014","2","32","1","0","1","0","34"
"2014","1","15","2","10","11","2","40"
"2013","2","12","0","0","2","0","14"
"2013","1","16","3","18","14","","51"
"2012","2","18","4","0","3","","25"
"2012","1","28","4","21","13","","66"
"2011","2","15","3","0","0","","18"
"2011","1","15","2","26","14","","57"
"2010","2","11","0","4","1","","16"
"2010","1","10","2","23","5","","40"
"2009","2","8","0","6","","","14"
"2009","1","11","10","18","","","39"
"2008","2","10","18","7","","","35"
"2008","1","6","11","17","","","34"
