"Año","Periodo","Hombres","Mujeres","Total"
"2021","1","404","261","665"
"2020","2","331","190","521"
"2020","1","467","240","707"
"2019","2","351","199","550"
"2019","1","483","251","734"
"2018","2","368","176","544"
"2018","1","452","253","705"
"2017","2","416","189","605"
"2017","1","513","272","785"
"2016","2","383","204","587"
"2016","1","541","284","825"
"2015","2","380","205","585"
"2015","1","526","230","756"
"2014","2","408","202","610"
"2014","1","490","182","672"
"2013","2","377","173","550"
"2013","1","548","240","788"
"2012","2","440","202","642"
"2012","1","393","359","752"
"2011","2","377","194","571"
"2011","1","509","256","765"
"2010","2","367","157","524"
"2010","1","529","260","789"
"2009","2","318","216","534"
"2009","1","471","238","709"
"2008","2","327","245","572"
"2008","1","396","199","595"
