"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","971","559","144","16","1690"
"2020","2","888","490","172","22","1572"
"2020","1","1195","603","177","21","1996"
"2019","2","837","470","167","16","1490"
"2019","1","1562","708","220","42","2532"
"2018","2","929","514","228","23","1694"
"2018","1","1325","669","248","51","2293"
"2017","2","974","608","265","25","1872"
"2017","1","1432","907","260","51","2650"
"2016","2","937","614","228","17","1796"
"2016","1","1411","796","289","19","2515"
"2015","2","905","559","231","14","1709"
"2015","1","1148","788","251","18","2205"
"2014","2","803","631","206","19","1659"
