"Periodo";"Series 1 (low)";"Series 1 (q1)";"Series 1 (median)";"Series 1 (q3)";"Series 1 (high)"
"2014-2";260,0195;434,2201;498,5587;561,1939;751,5162
"2015-1";263,1918;436,85695;491,5117;556,3942;734,5018
"2015-2";256,659;428,9434;487,7251;550,7;731,2341
"2016-1";265,4546;438,6017;500,3443;562,4586;738,4773
"2016-2";243,978;423,0566;487,12795;547,5042;727,7413
"2017-1";259,0024;439,3256;501,5917;564,2671;750,9232
"2017-2";257,66;428,47;490,62;554,27;742,22
"2018-1";257,7133;440,4411;502,6748;563,5218;746,7027
"2018-2";253,953;429,16;490,1421;549,791;729,6751
"2019-1";246,3327;427,90315;492,2995;556,82885;749,5835
"2019-2";253,3163;426,832;484,8565;542,9194;716,9278
"2020-1";260,9057;444,6768;501,6804;568,5341;754,1199
"2020-2";314,6154;460;512,3076;564,6154;707,6924
"2021-1";282,1692;454,81005;518,353;576,1009;755,8426
