"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","0","0","0","0","0","111","195","6","312"
"2020","1","0","0","0","0","0","95","306","5","406"
"2019","2","0","0","0","0","0","153","357","10","520"
"2019","1","0","0","0","0","0","18","70","1","89"
"2018","2","0","0","0","0","0","91","208","3","302"
"2018","1","0","0","0","0","0","102","242","9","353"
"2017","2","0","0","0","0","0","107","252","4","363"
"2017","1","0","0","0","0","0","97","266","5","368"
"2016","2","0","0","0","0","0","89","249","3","341"
"2016","1","0","0","0","0","0","86","265","0","351"
"2015","2","0","0","0","0","0","73","236","3","312"
"2015","1","0","0","0","0","0","86","225","8","319"
"2014","2","0","0","0","0","0","72","182","3","257"
"2014","1","0","0","0","0","0","95","184","1","280"
"2013","2","0","0","0","0","0","93","199","5","297"
"2013","1","0","0","0","0","0","88","205","1","294"
"2012","2","0","0","0","0","0","83","202","1","286"
"2012","1","0","0","0","0","0","86","166","0","252"
"2011","2","0","0","0","0","0","103","217","4","324"
"2011","1","0","0","0","0","0","118","183","3","304"
"2010","2","0","0","0","0","0","120","231","0","351"
"2010","1","0","0","0","0","0","123","272","9","404"
"2009","2","0","0","0","0","0","119","252","10","381"
"2009","1","0","0","0","0","0","120","289","6","415"
