"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","144","124","42","2","312"
"2020","1","202","153","51","0","406"
"2019","2","235","197","77","11","520"
"2019","1","35","37","16","1","89"
"2018","2","150","118","33","1","302"
"2018","1","171","123","53","6","353"
"2017","2","162","124","73","4","363"
"2017","1","142","157","61","8","368"
"2016","2","136","149","56","0","341"
"2016","1","133","140","71","7","351"
"2015","2","116","130","56","10","312"
"2015","1","124","137","46","12","319"
"2014","2","99","114","42","2","257"
"2014","1","112","110","54","4","280"
"2013","2","124","116","56","1","297"
"2013","1","119","116","48","11","294"
"2012","2","103","129","53","1","286"
"2012","1","87","89","59","17","252"
"2011","2","121","137","63","3","324"
"2011","1","103","135","64","2","304"
"2010","2","111","158","78","4","351"
"2010","1","141","175","84","4","404"
"2009","2","126","171","66","18","381"
"2009","1","62","70","33","250","415"
