"Año","Periodo","Comunidades indígenas","Mejores bachilleres","Mejores bachilleres de municipios pobres","Población afrocolombiana","Victimas del conflicto armado interno en Colombia","Total"
"2020","2","10","0","2","3","0","15"
"2020","1","14","0","8","4","2","28"
"2019","2","16","2","6","2","0","26"
"2019","1","4","0","1","0","0","5"
"2018","2","5","0","4","1","0","10"
"2018","1","5","1","8","5","0","19"
"2017","2","7","5","9","2","0","23"
"2017","1","7","3","6","3","0","19"
"2016","2","3","2","6","2","0","13"
"2016","1","6","0","7","3","0","16"
"2015","2","5","2","3","0","0","10"
"2015","1","4","3","7","0","0","14"
"2014","2","3","4","1","1","0","9"
"2014","1","2","5","3","0","0","10"
"2013","2","5","3","4","0","0","12"
"2013","1","1","4","6","0","0","11"
"2012","2","2","5","2","0","0","9"
"2012","1","2","2","3","0","0","7"
"2011","2","2","3","5","0","0","10"
"2011","1","0","4","2","0","0","6"
"2010","2","3","4","5","0","0","12"
"2010","1","4","7","2","0","0","13"
"2009","2","1","5","1","0","0","7"
"2009","1","5","6","5","0","0","16"
