"Año","Periodo","PAES","PEAMA","Regular","Total"
"2020","2","15","11","286","312"
"2020","1","28","6","372","406"
"2019","2","26","11","483","520"
"2019","1","5","3","81","89"
"2018","2","10","11","281","302"
"2018","1","19","8","326","353"
"2017","2","23","11","329","363"
"2017","1","19","4","345","368"
"2016","2","13","13","315","341"
"2016","1","16","2","333","351"
"2015","2","10","2","300","312"
"2015","1","14","2","303","319"
"2014","2","9","3","245","257"
"2014","1","10","1","269","280"
"2013","2","12","","285","297"
"2013","1","11","","283","294"
"2012","2","9","","277","286"
"2012","1","7","","245","252"
"2011","2","10","","314","324"
"2011","1","6","","298","304"
"2010","2","12","","339","351"
"2010","1","13","","391","404"
"2009","2","7","","374","381"
"2009","1","16","","399","415"
