"Año","Periodo","17 años o menos","18 a 20 años","21 a 25 años","26 o más años","Sin información","Total"
"2020","2","52","288","92","22","0","454"
"2020","1","175","321","56","15","0","567"
"2019","2","27","317","98","12","0","454"
"2019","1","136","309","65","25","1","536"
"2018","2","25","324","92","18","0","459"
"2018","1","157","308","57","14","0","536"
"2017","2","95","298","87","19","0","499"
"2017","1","143","365","86","21","0","615"
"2016","2","115","287","83","19","0","504"
"2016","1","115","407","84","20","0","626"
"2015","2","119","261","81","20","0","481"
"2015","1","250","280","70","18","0","618"
"2014","2","28","375","105","22","0","530"
"2014","1","166","219","39","15","0","439"
"2013","2","80","275","71","25","0","451"
"2013","1","90","438","78","27","0","633"
"2012","2","96","340","73","20","0","529"
"2012","1","277","261","65","22","0","625"
"2011","2","","","","","","0"
"2011","1","116","404","79","27","0","626"
"2010","2","94","276","61","26","0","457"
"2010","1","111","430","90","32","0","663"
"2009","2","100","202","53","10","0","365"
"2009","1","85","315","55","19","0","474"
