"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","451","0","3","454"
"2020","1","564","3","0","567"
"2019","2","451","3","0","454"
"2019","1","529","7","0","536"
"2018","2","458","1","0","459"
"2018","1","536","0","0","536"
"2017","2","495","0","4","499"
"2017","1","614","0","1","615"
"2016","2","502","2","0","504"
"2016","1","624","2","0","626"
"2015","2","478","3","0","481"
"2015","1","615","0","3","618"
"2014","2","527","1","2","530"
"2014","1","436","0","3","439"
"2013","2","448","0","3","451"
"2013","1","632","0","1","633"
"2012","2","529","0","0","529"
"2012","1","621","0","4","625"
"2011","2","","","","0"
"2011","1","625","1","0","626"
"2010","2","457","0","0","457"
"2010","1","663","0","0","663"
"2009","2","365","0","0","365"
"2009","1","474","0","0","474"
