"Año","Periodo","PAES","PEAMA","Regular","Total"
"2020","2","57","","397","454"
"2020","1","57","","510","567"
"2019","2","41","","413","454"
"2019","1","56","","480","536"
"2018","2","55","","404","459"
"2018","1","50","1","485","536"
"2017","2","38","","461","499"
"2017","1","32","34","549","615"
"2016","2","31","","473","504"
"2016","1","25","","601","626"
"2015","2","13","","468","481"
"2015","1","33","","585","618"
"2014","2","22","","508","530"
"2014","1","27","21","391","439"
"2013","2","13","","438","451"
"2013","1","41","1","591","633"
"2012","2","18","","511","529"
"2012","1","55","","570","625"
"2011","2","27","","395","422"
"2011","1","44","","582","626"
"2010","2","8","","449","457"
"2010","1","33","","630","663"
"2009","2","11","","354","365"
"2009","1","27","","447","474"
