"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2020","2","2799","1564","540","21","4924"
"2020","1","2659","1624","581","25","4889"
"2019","2","2557","1601","599","21","4778"
"2019","1","2508","1623","598","28","4757"
"2018","2","2430","1692","618","31","4771"
"2018","1","2438","1743","595","21","4797"
"2017","2","2452","1758","618","23","4851"
"2017","1","2436","1795","656","21","4908"
"2016","2","2365","1813","672","27","4877"
"2016","1","2404","1828","680","18","4930"
"2015","2","2252","1790","699","21","4762"
"2015","1","2233","1843","714","35","4825"
"2014","2","2132","1817","694","43","4686"
"2014","1","2099","1780","663","19","4561"
"2013","2","2092","1797","696","18","4603"
"2013","1","2040","1862","727","17","4646"
"2012","2","1936","1816","697","23","4472"
"2012","1","1865","1798","705","11","4379"
"2011","2","","","","","0"
"2011","1","1731","1713","708","10","4162"
"2010","2","1627","1676","691","15","4009"
"2010","1","1667","1763","712","17","4159"
"2009","2","1542","1728","725","20","4015"
"2009","1","1536","1773","747","34","4090"
