"Año","Periodo","Administración","Ciencias exactas y naturales","Ingeniería y arquitectura","Total"
"2020","2","1415","413","3096","4924"
"2020","1","1419","426","3044","4889"
"2019","2","1366","398","3014","4778"
"2019","1","1393","399","2965","4757"
"2018","2","1406","363","3002","4771"
"2018","1","1443","393","2961","4797"
"2017","2","1449","404","2998","4851"
"2017","1","1502","409","2997","4908"
"2016","2","1447","399","3031","4877"
"2016","1","1497","404","3029","4930"
"2015","2","1406","338","3018","4762"
"2015","1","1444","341","3040","4825"
"2014","2","1372","305","3009","4686"
"2014","1","1356","279","2926","4561"
"2013","2","1417","309","2877","4603"
"2013","1","1463","296","2887","4646"
"2012","2","1394","281","2797","4472"
"2012","1","1378","264","2737","4379"
"2011","2","1282","249","2600","4131"
"2011","1","1325","241","2596","4162"
"2010","2","1321","158","2530","4009"
"2010","1","1369","219","2571","4159"
"2009","2","1343","154","2518","4015"
"2009","1","1358","196","2536","4090"
