"Año","Periodo","No","Sí","Total"
"2020","2","4470","454","4924"
"2020","1","4322","567","4889"
"2019","2","4324","454","4778"
"2019","1","4221","536","4757"
"2018","2","4312","459","4771"
"2018","1","4261","536","4797"
"2017","2","4352","499","4851"
"2017","1","4293","615","4908"
"2016","2","4373","504","4877"
"2016","1","4304","626","4930"
"2015","2","4281","481","4762"
"2015","1","4207","618","4825"
"2014","2","4156","530","4686"
"2014","1","4122","439","4561"
"2013","2","4152","451","4603"
"2013","1","4013","633","4646"
"2012","2","3943","529","4472"
"2012","1","3754","625","4379"
"2011","2","3709","422","4131"
"2011","1","3536","626","4162"
"2010","2","3552","457","4009"
"2010","1","3496","663","4159"
"2009","2","3650","365","4015"
"2009","1","3616","474","4090"
