"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2020","2","4900","21","3","4924"
"2020","1","4869","20","0","4889"
"2019","2","4758","20","0","4778"
"2019","1","4740","17","0","4757"
"2018","2","4759","12","0","4771"
"2018","1","4782","13","2","4797"
"2017","2","4835","11","5","4851"
"2017","1","4892","15","1","4908"
"2016","2","4862","15","0","4877"
"2016","1","4913","17","0","4930"
"2015","2","4747","15","0","4762"
"2015","1","4813","6","6","4825"
"2014","2","4675","6","5","4686"
"2014","1","4553","3","5","4561"
"2013","2","4596","3","4","4603"
"2013","1","4641","4","1","4646"
"2012","2","4468","4","0","4472"
"2012","1","4371","4","4","4379"
"2011","2","","","","0"
"2011","1","4158","4","0","4162"
"2010","2","4009","0","0","4009"
"2010","1","4158","0","1","4159"
"2009","2","4014","0","1","4015"
"2009","1","4089","0","1","4090"
