"Año","Periodo","11 o menos","12 a 17","18 a 50","51 a 100","Sin información","Total"
"2020","2","1636","926","1731","631","0","4924"
"2020","1","1606","937","1668","678","0","4889"
"2019","2","1574","918","1621","665","0","4778"
"2019","1","1566","923","1592","676","0","4757"
"2018","2","1545","933","1604","689","0","4771"
"2018","1","1639","943","1559","656","0","4797"
"2017","2","1643","958","1581","669","0","4851"
"2017","1","1672","976","1600","660","0","4908"
"2016","2","1651","976","1573","677","0","4877"
"2016","1","1677","993","1601","659","0","4930"
"2015","2","1605","954","1542","661","0","4762"
"2015","1","1632","959","1558","676","0","4825"
"2014","2","1610","939","1491","646","0","4686"
"2014","1","1579","929","1445","608","0","4561"
"2013","2","1577","933","1466","627","0","4603"
"2013","1","1534","953","1518","641","0","4646"
"2012","2","1493","925","1435","619","0","4472"
"2012","1","1411","909","1442","617","0","4379"
"2011","2","","","","","","0"
"2011","1","1275","863","1440","584","0","4162"
"2010","2","1197","835","1415","562","0","4009"
"2010","1","1213","916","1475","555","0","4159"
