"Año","Periodo","PEAMA - Amazonía","PEAMA - Caribe","PEAMA - Orinoquía","PEAMA - Sede Manizales - Caldas","PEAMA - Tumaco","Total"
"2020","2","78","6","136","19","82","321"
"2020","1","74","6","122","18","81","301"
"2019","2","69","4","95","18","68","254"
"2019","1","67","3","85","21","67","243"
"2018","2","64","4","75","24","36","203"
"2018","1","72","5","74","24","25","200"
"2017","2","66","5","60","27","14","172"
"2017","1","63","6","57","34","10","170"
"2016","2","61","6","53","","4","124"
"2016","1","67","8","58","","4","137"
"2015","2","55","8","58","","0","121"
"2015","1","56","8","50","","0","114"
"2014","2","43","10","49","","","102"
"2014","1","59","10","58","","","127"
"2013","2","37","8","30","","","75"
"2013","1","36","7","31","","","74"
"2012","2","24","5","15","","","44"
"2012","1","23","3","15","","","41"
"2011","2","17","3","11","","","31"
"2011","1","5","3","8","","","16"
"2010","2","3","3","7","","","13"
"2010","1","3","0","4","","","7"
"2009","2","2","0","2","","","4"
"2009","1","0","0","1","","","1"
