"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","3222","1702","4924"
"2020","1","3211","1678","4889"
"2019","2","3138","1640","4778"
"2019","1","3145","1612","4757"
"2018","2","3142","1629","4771"
"2018","1","3179","1618","4797"
"2017","2","3230","1621","4851"
"2017","1","3253","1655","4908"
"2016","2","3247","1630","4877"
"2016","1","3282","1648","4930"
"2015","2","3171","1591","4762"
"2015","1","3220","1605","4825"
"2014","2","3122","1564","4686"
"2014","1","3042","1519","4561"
"2013","2","3011","1592","4603"
"2013","1","3026","1620","4646"
"2012","2","2890","1582","4472"
"2012","1","2839","1540","4379"
"2011","2","2651","1480","4131"
"2011","1","2686","1476","4162"
"2010","2","2582","1427","4009"
"2010","1","2669","1490","4159"
"2009","2","2561","1454","4015"
"2009","1","2617","1473","4090"
