"Año","Periodo","PAES","PEAA","PEAMA","Regular","Total"
"2020","2","371","","321","4232","4924"
"2020","1","338","","301","4250","4889"
"2019","2","321","","254","4203","4778"
"2019","1","314","","243","4200","4757"
"2018","2","299","","203","4269","4771"
"2018","1","265","","200","4332","4797"
"2017","2","260","","172","4419","4851"
"2017","1","250","","170","4488","4908"
"2016","2","256","","124","4497","4877"
"2016","1","244","","137","4549","4930"
"2015","2","236","","121","4405","4762"
"2015","1","254","1","114","4456","4825"
"2014","2","235","1","102","4348","4686"
"2014","1","227","1","127","4206","4561"
"2013","2","219","","75","4309","4603"
"2013","1","229","","74","4343","4646"
"2012","2","205","","44","4223","4472"
"2012","1","209","","41","4129","4379"
"2011","2","158","","31","3942","4131"
"2011","1","171","","16","3975","4162"
"2010","2","138","","13","3858","4009"
"2010","1","156","","7","3996","4159"
"2009","2","135","","4","3876","4015"
"2009","1","135","","1","3954","4090"
