"Año","Periodo","Estrato 2 o menos","Estrato 3","Estrato 4 o más","ND/NE","Total"
"2021","1","927","551","183","6","1667"
"2020","2","875","452","103","12","1442"
"2020","1","895","644","248","14","1801"
"2019","2","882","594","162","14","1652"
"2019","1","904","626","274","13","1817"
"2018","2","987","651","184","13","1835"
"2018","1","896","626","284","10","1816"
"2017","2","868","603","191","14","1676"
"2017","1","873","649","278","15","1815"
"2016","2","899","613","175","15","1702"
"2016","1","783","702","280","12","1777"
"2015","2","819","595","195","10","1619"
"2015","1","789","718","287","5","1799"
"2014","2","758","668","194","28","1648"
"2014","1","627","623","276","11","1537"
"2013","2","732","573","138","12","1455"
"2013","1","625","589","316","10","1540"
"2012","2","678","570","169","10","1427"
"2012","1","721","726","297","11","1755"
"2011","2","735","695","181","4","1615"
"2011","1","819","800","334","4","1957"
"2010","2","799","703","145","11","1658"
"2010","1","787","752","343","6","1888"
"2009","2","838","692","172","8","1710"
"2009","1","669","703","342","18","1732"
"2008","2","787","693","180","9","1669"
"2008","1","627","739","326","34","1726"
