"Año","Periodo","Arquitectura","Ciencias","Ciencias agrarias","Ciencias humanas y económicas","Minas","Total"
"2021","1","133","295","293","140","806","1667"
"2020","2","111","240","232","146","713","1442"
"2020","1","133","337","327","184","820","1801"
"2019","2","123","265","301","169","794","1652"
"2019","1","126","308","342","214","827","1817"
"2018","2","129","303","346","223","834","1835"
"2018","1","128","312","347","215","814","1816"
"2017","2","123","287","273","187","806","1676"
"2017","1","129","334","347","192","813","1815"
"2016","2","124","300","299","187","792","1702"
"2016","1","133","337","306","174","827","1777"
"2015","2","124","278","294","189","734","1619"
"2015","1","143","312","327","188","829","1799"
"2014","2","113","277","287","143","828","1648"
"2014","1","112","228","230","140","827","1537"
"2013","2","108","220","191","110","826","1455"
"2013","1","118","296","217","133","776","1540"
"2012","2","112","275","222","148","670","1427"
"2012","1","118","314","364","133","826","1755"
"2011","2","115","282","274","166","778","1615"
"2011","1","115","298","364","282","898","1957"
"2010","2","109","245","251","205","848","1658"
"2010","1","159","327","363","227","812","1888"
"2009","2","115","263","349","173","810","1710"
"2009","1","116","250","371","149","846","1732"
"2008","2","110","267","315","146","831","1669"
"2008","1","111","254","319","209","833","1726"
