"Año","Periodo","Hombres","Mujeres","Total"
"2021","1","1012","655","1667"
"2020","2","860","582","1442"
"2020","1","1236","565","1801"
"2019","2","1080","572","1652"
"2019","1","1192","625","1817"
"2018","2","1228","607","1835"
"2018","1","1193","623","1816"
"2017","2","1138","538","1676"
"2017","1","1215","600","1815"
"2016","2","1120","582","1702"
"2016","1","1131","646","1777"
"2015","2","1068","551","1619"
"2015","1","1204","595","1799"
"2014","2","1131","517","1648"
"2014","1","1097","440","1537"
"2013","2","1013","442","1455"
"2013","1","1102","438","1540"
"2012","2","1000","427","1427"
"2012","1","995","760","1755"
"2011","2","1120","495","1615"
"2011","1","1340","617","1957"
"2010","2","1118","540","1658"
"2010","1","1254","634","1888"
"2009","2","1068","642","1710"
"2009","1","1087","645","1732"
"2008","2","1107","562","1669"
"2008","1","1123","603","1726"
