"Año","Periodo","Colombiana","Extranjero","Sin información","Total"
"2021","1","6753","32","0","6785"
"2020","2","4468","37","0","4505"
"2020","1","7654","96","0","7750"
"2019","2","3702","36","0","3738"
"2019","1","9968","64","0","10032"
"2018","2","5669","39","0","5708"
"2018","1","9193","64","0","9257"
"2017","2","4718","32","0","4750"
"2017","1","8830","39","0","8869"
"2016","2","4640","26","0","4666"
"2016","1","9394","42","0","9436"
"2015","2","5080","17","0","5097"
"2015","1","8336","29","0","8365"
"2014","2","5115","31","0","5146"
