"Año","Periodo","Especial","Regular","Total"
"2020","2","6","150","156"
"2020","1","50","563","613"
"2019","2","80","899","979"
"2019","1","9","225","234"
"2018","2","60","618","678"
"2018","1","43","558","601"
"2017","2","47","584","631"
"2017","1","45","583","628"
"2016","2","40","571","611"
"2016","1","33","608","641"
"2015","2","39","646","685"
"2015","1","34","596","630"
"2014","2","32","592","624"
"2014","1","32","561","593"
"2013","2","28","581","609"
"2013","1","13","612","625"
"2012","2","23","685","708"
"2012","1","18","543","561"
"2011","2","5","186","191"
"2011","1","24","626","650"
"2010","2","26","596","622"
"2010","1","20","832","852"
"2009","2","7","294","301"
"2009","1","24","708","732"
