"Año","Periodo","Hombres","Mujeres","Total"
"2020","2","99","57","156"
"2020","1","387","226","613"
"2019","2","639","340","979"
"2019","1","139","95","234"
"2018","2","430","248","678"
"2018","1","377","224","601"
"2017","2","397","234","631"
"2017","1","394","234","628"
"2016","2","381","230","611"
"2016","1","416","225","641"
"2015","2","425","260","685"
"2015","1","390","240","630"
"2014","2","385","239","624"
"2014","1","350","243","593"
"2013","2","339","270","609"
"2013","1","368","257","625"
"2012","2","439","269","708"
"2012","1","349","212","561"
"2011","2","117","74","191"
"2011","1","385","265","650"
"2010","2","369","253","622"
"2010","1","472","380","852"
"2009","2","165","136","301"
"2009","1","418","314","732"
