"Año","Periodo","Agronomía, veterinaria y afines","Bellas artes","Ciencias de la educación","Ciencias de la salud","Ciencias sociales y humanas","Economía, administración, contaduría y afines","Ingeniería, arquitectura, urbanismo y afines","Matemáticas y ciencias naturales","Total"
"2020","2","61","22","0","0","117","0","960","73","1233"
"2020","1","49","21","0","0","106","0","910","86","1172"
"2019","2","42","18","0","0","127","0","1074","80","1341"
"2019","1","59","16","0","0","150","0","1015","108","1348"
"2018","2","53","17","0","0","153","0","1034","107","1364"
"2018","1","49","15","0","0","130","0","985","93","1272"
"2017","2","41","17","0","0","133","0","1059","107","1357"
"2017","1","54","20","0","0","113","0","1004","93","1284"
"2016","2","51","16","0","0","148","0","1085","101","1401"
"2016","1","29","16","0","0","117","0","1027","107","1296"
"2015","2","52","20","0","0","134","0","979","89","1274"
"2015","1","45","25","0","0","120","0","1059","74","1323"
"2014","2","38","20","0","0","103","0","1086","90","1337"
"2014","1","22","20","0","0","81","0","971","57","1151"
"2013","2","19","19","0","0","79","0","984","57","1158"
"2013","1","47","20","0","0","98","0","936","73","1174"
"2012","2","25","18","0","0","109","0","884","75","1111"
"2012","1","71","16","0","0","86","0","1034","86","1293"
"2011","2","27","12","0","0","137","0","757","53","986"
"2011","1","71","13","0","0","201","0","1132","98","1515"
"2010","2","52","13","0","0","152","0","1035","67","1319"
"2010","1","62","24","0","0","150","0","1124","91","1451"
"2009","2","50","19","0","0","117","0","941","71","1198"
"2009","1","59","15","0","0","78","0","1032","55","1239"
