"Año","Periodo","Especial","Regular","Total"
"2020","2","240","993","1233"
"2020","1","145","1027","1172"
"2019","2","145","1196","1341"
"2019","1","212","1136","1348"
"2018","2","111","1253","1364"
"2018","1","140","1132","1272"
"2017","2","81","1276","1357"
"2017","1","88","1196","1284"
"2016","2","62","1339","1401"
"2016","1","91","1205","1296"
"2015","2","29","1245","1274"
"2015","1","103","1220","1323"
"2014","2","35","1302","1337"
"2014","1","141","1010","1151"
"2013","2","30","1128","1158"
"2013","1","111","1063","1174"
"2012","2","29","1082","1111"
"2012","1","145","1148","1293"
"2011","2","72","914","986"
"2011","1","124","1391","1515"
"2010","2","21","1298","1319"
"2010","1","96","1355","1451"
"2009","2","15","1183","1198"
"2009","1","63","1176","1239"
